草创未就　就极刑而无愠色
汉家烟尘在东北 汉将辞家破残贼
浔阳江头夜送客 枫叶荻花秋瑟瑟/停车坐爱枫林晚 霜叶红于二月花
蛾儿雪柳黄金缕 笑语盈盈暗香去
极天云一线异色 须臾成五采
满招损 谦受益/念高危则思谦冲而自牧 惧满溢则思江海下百川/知不足者好学 耻下问者自满
铁衣远戍辛勤久 玉箸应啼别离后
修守战之具 外连衡而斗诸侯
有善始者实繁 能克终者盖寡/靡不有初 鲜克能终/物有本末 事有终始/慎终如始 则无败事
茕茕孑立 形影相吊
铁衣远戍辛勤久 玉箸应啼别离后
江天一色无纤尘 皎皎空中孤月轮(落霞与孤鹜齐飞，秋水共长天一色/白露横江，水光接天/孤帆远影碧空尽，唯见长江天际流/黄河之水天上来，奔流到海不复回)
 《国风》好色而不淫 《小雅》怨诽而不乱
汉家烟尘在东北 汉将辞家破残贼
浔阳江头夜送客 枫叶荻花秋瑟瑟(停车坐爱枫林晚，霜叶红于二月花/洞庭去远近，枫叶早惊秋/枫叶千枝复万枝，江桥掩映暮帆迟)
